,0
0,1647.7024139805098
1,1547.7024139805098
2,1447.7024139805098
3,1347.7024139805098
4,1247.7024139805098
5,1147.7024139805098
6,1047.7024139805098
7,947.7024139805098
8,847.7024139805098
9,747.7024139805098
10,647.7024139805098
11,552.6554085850424
12,468.8292947491113
13,395.3105568071606
14,331.2164214982653
15,275.717399694653
16,228.00237863718652
17,187.29220967202613
18,152.82793932563362
19,123.88348520899665
20,99.76444869190983
21,79.82882613720082
22,63.47647228181778
23,50.16689334660321
24,39.41047718231643
25,30.783991875256284
26,23.91118447425865
27,18.47304066298973
28,14.197844682790196
29,10.857214882518536
30,8.263700794284516
31,6.260151510186221
32,4.722190538608699
33,3.5469190678395814
34,2.6534116495578823
35,1.9773404528617398
36,1.4680326745050218
37,1.086263312623782
38,0.8010392956064948
39,0.5888507540195894
40,0.4314871375020186
41,0.3153536099725134
42,0.2298333485218153
43,0.16706503137337175
44,0.12113584295613632
45,0.08762125998888902
46,0.06325379496786278
47,0.0455656098406336
48,0.03274813271448154
49,0.023503969932648364
50,0.01683272666142288
